법정동코드,법정동명,최하지역명
2632010300,부산광역시 북구 만덕동,만덕동
2632010400,부산광역시 북구 덕천동,덕천동
2632010500,부산광역시 북구 구포동,구포동
2635000000,부산광역시 해운대구,해운대구
2635010100,부산광역시 해운대구 반송동,반송동
2635010200,부산광역시 해운대구 석대동,석대동
2635010300,부산광역시 해운대구 반여동,반여동
2635010400,부산광역시 해운대구 재송동,재송동
2635010500,부산광역시 해운대구 우동,우동
2635010600,부산광역시 해운대구 중동,중동
2635010700,부산광역시 해운대구 좌동,좌동
2635010800,부산광역시 해운대구 송정동,송정동
2638000000,부산광역시 사하구,사하구
2638010100,부산광역시 사하구 괴정동,괴정동
2638010200,부산광역시 사하구 당리동,당리동
2638010300,부산광역시 사하구 하단동,하단동
2638010400,부산광역시 사하구 신평동,신평동
2638010500,부산광역시 사하구 장림동,장림동
2638010600,부산광역시 사하구 다대동,다대동
2638010700,부산광역시 사하구 구평동,구평동
2638010800,부산광역시 사하구 감천동,감천동
2641000000,부산광역시 금정구,금정구
2641010100,부산광역시 금정구 두구동,두구동
2641010200,부산광역시 금정구 노포동,노포동
2641010300,부산광역시 금정구 청룡동,청룡동
2641010400,부산광역시 금정구 남산동,남산동
2641010500,부산광역시 금정구 선동,선동
2641010600,부산광역시 금정구 오륜동,오륜동
2641010700,부산광역시 금정구 구서동,구서동
2641010800,부산광역시 금정구 장전동,장전동
2641010900,부산광역시 금정구 부곡동,부곡동
2641011000,부산광역시 금정구 서동,서동
2641011100,부산광역시 금정구 금사동,금사동
2641011200,부산광역시 금정구 회동동,회동동
2641011300,부산광역시 금정구 금성동,금성동
2644000000,부산광역시 강서구,강서구
2644010100,부산광역시 강서구 대저1동,대저1동
2644010200,부산광역시 강서구 대저2동,대저2동
2644010300,부산광역시 강서구 강동동,강동동
2644010400,부산광역시 강서구 명지동,명지동
2644010500,부산광역시 강서구 죽림동,죽림동
2644010600,부산광역시 강서구 식만동,식만동
2644010700,부산광역시 강서구 죽동동,죽동동
2644010800,부산광역시 강서구 봉림동,봉림동
2644010900,부산광역시 강서구 송정동,송정동
2644011000,부산광역시 강서구 화전동,화전동
2644011100,부산광역시 강서구 녹산동,녹산동
2644011200,부산광역시 강서구 생곡동,생곡동
2644011300,부산광역시 강서구 구랑동,구랑동
2644011400,부산광역시 강서구 지사동,지사동
2644011500,부산광역시 강서구 미음동,미음동
2644011600,부산광역시 강서구 범방동,범방동
2644011700,부산광역시 강서구 신호동,신호동
2644011800,부산광역시 강서구 동선동,동선동
2644011900,부산광역시 강서구 성북동,성북동
2644012000,부산광역시 강서구 눌차동,눌차동
2644012100,부산광역시 강서구 천성동,천성동
2644012200,부산광역시 강서구 대항동,대항동
2647000000,부산광역시 연제구,연제구
2647010100,부산광역시 연제구 거제동,거제동
2647010200,부산광역시 연제구 연산동,연산동
2650000000,부산광역시 수영구,수영구
2650010100,부산광역시 수영구 망미동,망미동
2650010200,부산광역시 수영구 수영동,수영동
2650010300,부산광역시 수영구 민락동,민락동
2650010400,부산광역시 수영구 광안동,광안동
2650010500,부산광역시 수영구 남천동,남천동
2653000000,부산광역시 사상구,사상구
2653010100,부산광역시 사상구 삼락동,삼락동
2653010200,부산광역시 사상구 모라동,모라동
2653010300,부산광역시 사상구 덕포동,덕포동
2653010400,부산광역시 사상구 괘법동,괘법동
2653010500,부산광역시 사상구 감전동,감전동
2653010600,부산광역시 사상구 주례동,주례동
2653010700,부산광역시 사상구 학장동,학장동
2653010800,부산광역시 사상구 엄궁동,엄궁동
2671000000,부산광역시 기장군,기장군
2671025000,부산광역시 기장군 기장읍,기장읍
2671025021,부산광역시 기장군 기장읍 동부리,동부리
2671025022,부산광역시 기장군 기장읍 교리,교리
2671025023,부산광역시 기장군 기장읍 신천리,신천리
2671025024,부산광역시 기장군 기장읍 죽성리,죽성리
2671025025,부산광역시 기장군 기장읍 서부리,서부리
2671025026,부산광역시 기장군 기장읍 대라리,대라리
2671025027,부산광역시 기장군 기장읍 청강리,청강리
2671025028,부산광역시 기장군 기장읍 대변리,대변리
2671025029,부산광역시 기장군 기장읍 연화리,연화리
2671025030,부산광역시 기장군 기장읍 만화리,만화리
