법정동코드,법정동명,최하지역명
1100000000,서울특별시,서울특별시
1111000000,서울특별시 종로구,종로구
1111010100,서울특별시 종로구 청운동,청운동
1111010200,서울특별시 종로구 신교동,신교동
1111010300,서울특별시 종로구 궁정동,궁정동
1111010400,서울특별시 종로구 효자동,효자동
1111010500,서울특별시 종로구 창성동,창성동
1111010600,서울특별시 종로구 통의동,통의동
1111010700,서울특별시 종로구 적선동,적선동
1111010800,서울특별시 종로구 통인동,통인동
1111010900,서울특별시 종로구 누상동,누상동
1111011000,서울특별시 종로구 누하동,누하동
1111011100,서울특별시 종로구 옥인동,옥인동
1111011200,서울특별시 종로구 체부동,체부동
1111011300,서울특별시 종로구 필운동,필운동
1111011400,서울특별시 종로구 내자동,내자동
1111011500,서울특별시 종로구 사직동,사직동
1111011600,서울특별시 종로구 도렴동,도렴동
1111011700,서울특별시 종로구 당주동,당주동
1111011800,서울특별시 종로구 내수동,내수동
1111011900,서울특별시 종로구 세종로,세종로
1111012000,서울특별시 종로구 신문로1가,신문로1가
1111012100,서울특별시 종로구 신문로2가,신문로2가
1111012200,서울특별시 종로구 청진동,청진동
1111012300,서울특별시 종로구 서린동,서린동
1111012400,서울특별시 종로구 수송동,수송동
1111012500,서울특별시 종로구 중학동,중학동
1111012600,서울특별시 종로구 종로1가,종로1가
1111012700,서울특별시 종로구 공평동,공평동
1111012800,서울특별시 종로구 관훈동,관훈동
1111012900,서울특별시 종로구 견지동,견지동
1111013000,서울특별시 종로구 와룡동,와룡동
1111013100,서울특별시 종로구 권농동,권농동
1111013200,서울특별시 종로구 운니동,운니동
1111013300,서울특별시 종로구 익선동,익선동
1111013400,서울특별시 종로구 경운동,경운동
1111013500,서울특별시 종로구 관철동,관철동
1111013600,서울특별시 종로구 인사동,인사동
1111013700,서울특별시 종로구 낙원동,낙원동
1111013800,서울특별시 종로구 종로2가,종로2가
1111013900,서울특별시 종로구 팔판동,팔판동
1111014000,서울특별시 종로구 삼청동,삼청동
1111014100,서울특별시 종로구 안국동,안국동
1111014200,서울특별시 종로구 소격동,소격동
1111014300,서울특별시 종로구 화동,화동
1111014400,서울특별시 종로구 사간동,사간동
1111014500,서울특별시 종로구 송현동,송현동
1111014600,서울특별시 종로구 가회동,가회동
1111014700,서울특별시 종로구 재동,재동
1111014800,서울특별시 종로구 계동,계동
1111014900,서울특별시 종로구 원서동,원서동
1111015000,서울특별시 종로구 훈정동,훈정동
1111015100,서울특별시 종로구 묘동,묘동
1111015200,서울특별시 종로구 봉익동,봉익동
1111015300,서울특별시 종로구 돈의동,돈의동
1111015400,서울특별시 종로구 장사동,장사동
1111015500,서울특별시 종로구 관수동,관수동
1111015600,서울특별시 종로구 종로3가,종로3가
1111015700,서울특별시 종로구 인의동,인의동
